logger,site,dt,date,time,temp,pH
21776626,70.2,8/18/2023 10:46,8/18/2023,10:46:00 AM,19.84,7.724296766
21776626,70.2,8/18/2023 10:56,8/18/2023,10:56:00 AM,20.01,7.878189795
21776626,70.2,8/18/2023 11:06,8/18/2023,11:06:00 AM,20.1,7.922436147
21776626,70.2,8/18/2023 11:16,8/18/2023,11:16:00 AM,20.2,7.983974869
21776626,70.2,8/18/2023 11:26,8/18/2023,11:26:00 AM,20.27,8.042500609
21776626,70.2,8/18/2023 11:36,8/18/2023,11:36:00 AM,20.36,8.103440946
21776626,70.2,8/18/2023 11:46,8/18/2023,11:46:00 AM,20.46,8.168498729
21776626,70.2,8/18/2023 11:56,8/18/2023,11:56:00 AM,20.56,8.227641966
21776626,70.2,8/18/2023 12:06,8/18/2023,12:06:00 PM,20.65,8.292377739
21776626,70.2,8/18/2023 12:16,8/18/2023,12:16:00 PM,20.77,8.364477421
21776626,70.2,8/18/2023 12:26,8/18/2023,12:26:00 PM,20.86,8.42828732
21776626,70.2,8/18/2023 12:36,8/18/2023,12:36:00 PM,20.98,8.489114625
21776626,70.2,8/18/2023 12:46,8/18/2023,12:46:00 PM,21.13,8.551129292
21776626,70.2,8/18/2023 12:56,8/18/2023,12:56:00 PM,21.25,8.60934082
21776626,70.2,8/18/2023 13:06,8/18/2023,1:06:00 PM,21.39,8.660701741
21776626,70.2,8/18/2023 13:16,8/18/2023,1:16:00 PM,21.51,8.709065084
21776626,70.2,8/18/2023 13:26,8/18/2023,1:26:00 PM,21.65,8.752813798
21776626,70.2,8/18/2023 13:36,8/18/2023,1:36:00 PM,21.77,8.789683091
21776626,70.2,8/18/2023 13:46,8/18/2023,1:46:00 PM,21.91,8.826398591
21776626,70.2,8/18/2023 13:56,8/18/2023,1:56:00 PM,22.01,8.855265035
21776626,70.2,8/18/2023 14:06,8/18/2023,2:06:00 PM,22.13,8.885652612
21776626,70.2,8/18/2023 14:16,8/18/2023,2:16:00 PM,22.3,8.911800807
21776626,70.2,8/18/2023 14:26,8/18/2023,2:26:00 PM,22.39,8.931776178
21776626,70.2,8/18/2023 14:36,8/18/2023,2:36:00 PM,22.49,8.948618553
21776626,70.2,8/18/2023 14:46,8/18/2023,2:46:00 PM,22.56,8.968147733
21776626,70.2,8/18/2023 14:56,8/18/2023,2:56:00 PM,22.66,8.987466094
21776626,70.2,8/18/2023 15:06,8/18/2023,3:06:00 PM,22.7,9.000240529
21776626,70.2,8/18/2023 15:16,8/18/2023,3:16:00 PM,22.75,9.01155615
21776626,70.2,8/18/2023 15:26,8/18/2023,3:26:00 PM,22.8,9.011493734
21776626,70.2,8/18/2023 15:36,8/18/2023,3:36:00 PM,22.82,9.019125043
21776626,70.2,8/18/2023 15:46,8/18/2023,3:46:00 PM,22.85,9.02280363
21776626,70.2,8/18/2023 15:56,8/18/2023,3:56:00 PM,22.82,9.013577021
21776626,70.2,8/18/2023 16:06,8/18/2023,4:06:00 PM,22.8,9.015377611
21776626,70.2,8/18/2023 16:16,8/18/2023,4:16:00 PM,22.78,8.999977253
21776626,70.2,8/18/2023 16:26,8/18/2023,4:26:00 PM,22.7,8.993025176
21776626,70.2,8/18/2023 16:36,8/18/2023,4:36:00 PM,22.66,8.980804867
21776626,70.2,8/18/2023 16:46,8/18/2023,4:46:00 PM,22.58,8.965238371
21776626,70.2,8/18/2023 16:56,8/18/2023,4:56:00 PM,22.54,8.946345414
21776626,70.2,8/18/2023 17:06,8/18/2023,5:06:00 PM,22.49,8.926401696
21776626,70.2,8/18/2023 17:16,8/18/2023,5:16:00 PM,22.47,8.902091825
21776626,70.2,8/18/2023 17:26,8/18/2023,5:26:00 PM,22.42,8.884913663
21776626,70.2,8/18/2023 17:36,8/18/2023,5:36:00 PM,22.37,8.864395806
21776626,70.2,8/18/2023 17:46,8/18/2023,5:46:00 PM,22.32,8.831366833
21776626,70.2,8/18/2023 17:56,8/18/2023,5:56:00 PM,22.25,8.796502877
21776626,70.2,8/18/2023 18:06,8/18/2023,6:06:00 PM,22.18,8.736324194
21776626,70.2,8/18/2023 18:16,8/18/2023,6:16:00 PM,22.11,8.691132656
21776626,70.2,8/18/2023 18:26,8/18/2023,6:26:00 PM,22.06,8.641914567
21776626,70.2,8/18/2023 18:36,8/18/2023,6:36:00 PM,21.99,8.569142329
21776626,70.2,8/18/2023 18:46,8/18/2023,6:46:00 PM,21.91,8.502229663
21776626,70.2,8/18/2023 18:56,8/18/2023,6:56:00 PM,21.84,8.424934114
21776626,70.2,8/18/2023 19:06,8/18/2023,7:06:00 PM,21.8,8.343289406
21776626,70.2,8/18/2023 19:16,8/18/2023,7:16:00 PM,21.72,8.25483279
21776626,70.2,8/18/2023 19:26,8/18/2023,7:26:00 PM,21.68,8.178144301
21776626,70.2,8/18/2023 19:36,8/18/2023,7:36:00 PM,21.63,8.098130113
21776626,70.2,8/18/2023 19:46,8/18/2023,7:46:00 PM,21.58,8.023938709
21776626,70.2,8/18/2023 19:56,8/18/2023,7:56:00 PM,21.53,7.959473668
21776626,70.2,8/18/2023 20:06,8/18/2023,8:06:00 PM,21.46,7.897555637
21776626,70.2,8/18/2023 20:16,8/18/2023,8:16:00 PM,21.41,7.840847292
21776626,70.2,8/18/2023 20:26,8/18/2023,8:26:00 PM,21.37,7.78576567
21776626,70.2,8/18/2023 20:36,8/18/2023,8:36:00 PM,21.32,7.73571255
21776626,70.2,8/18/2023 20:46,8/18/2023,8:46:00 PM,21.25,7.691266615
21776626,70.2,8/18/2023 20:56,8/18/2023,8:56:00 PM,21.2,7.652613077
21776626,70.2,8/18/2023 21:06,8/18/2023,9:06:00 PM,21.15,7.618410007
21776626,70.2,8/18/2023 21:16,8/18/2023,9:16:00 PM,21.1,7.589496742
21776626,70.2,8/18/2023 21:26,8/18/2023,9:26:00 PM,21.06,7.56306614
21776626,70.2,8/18/2023 21:36,8/18/2023,9:36:00 PM,21.01,7.540833212
21776626,70.2,8/18/2023 21:46,8/18/2023,9:46:00 PM,20.96,7.519988502
21776626,70.2,8/18/2023 21:56,8/18/2023,9:56:00 PM,20.89,7.504196645
21776626,70.2,8/18/2023 22:06,8/18/2023,10:06:00 PM,20.86,7.488330823
21776626,70.2,8/18/2023 22:16,8/18/2023,10:16:00 PM,20.82,7.476667159
21776626,70.2,8/18/2023 22:26,8/18/2023,10:26:00 PM,20.77,7.464178133
21776626,70.2,8/18/2023 22:36,8/18/2023,10:36:00 PM,20.72,7.452523007
21776626,70.2,8/18/2023 22:46,8/18/2023,10:46:00 PM,20.67,7.4425405
21776626,70.2,8/18/2023 22:56,8/18/2023,10:56:00 PM,20.63,7.43309881
21776626,70.2,8/18/2023 23:06,8/18/2023,11:06:00 PM,20.58,7.426464136
21776626,70.2,8/18/2023 23:16,8/18/2023,11:16:00 PM,20.53,7.420945459
21776626,70.2,8/18/2023 23:26,8/18/2023,11:26:00 PM,20.48,7.414306456
